timestamp,Infrared to Red Signal Ratio
03/05/22 21:42:31,-63
03/05/22 21:43:31,-3
03/05/22 21:44:32,2
03/05/22 21:45:32,9
03/05/22 21:46:32,0
03/05/22 21:47:32,-4
03/05/22 21:48:32,8
03/05/22 21:49:32,2
03/05/22 21:50:36,13
03/05/22 21:51:36,89
03/05/22 21:52:36,23
03/05/22 21:53:36,-3
03/05/22 21:54:36,7
03/05/22 21:55:36,2
03/05/22 21:56:36,-5
03/05/22 21:57:37,-34
03/05/22 21:58:37,5
03/05/22 21:59:37,0
03/05/22 22:00:37,0
03/05/22 22:01:37,0
03/05/22 22:02:37,0
03/05/22 22:03:37,0
03/05/22 22:04:38,4
03/05/22 22:05:37,-1
03/05/22 22:06:38,0
03/05/22 22:07:38,0
03/05/22 22:08:38,8
03/05/22 22:09:38,11
03/05/22 22:10:38,0
03/05/22 22:11:38,4
03/05/22 22:12:39,7
03/05/22 22:13:39,0
03/05/22 22:14:39,-1
03/05/22 22:15:39,0
