date,readiness_score_value,srl_normalized_score,ff_normalized_score,hrv_normalized_score
2022-05-28,100.0,96.0,100.0,45.0
2022-05-27,100.0,98.0,100.0,57.0
2022-05-26,72.0,96.0,72.0,43.0
2022-05-25,87.0,96.0,87.0,58.0
2022-05-24,53.0,94.0,53.0,75.0
2022-05-23,90.0,60.0,90.0,55.0
2022-05-22,28.0,95.0,70.0,28.0
2022-05-21,35.0,99.0,35.0,61.0
2022-05-20,1.0,96.0,0.0,53.0
2022-05-19,1.0,99.0,0.0,49.0
2022-05-18,29.0,99.0,29.0,61.0
2022-05-17,54.0,96.0,54.0,51.0
2022-05-16,92.0,98.0,92.0,46.0
2022-05-15,97.0,99.0,97.0,59.0
2022-05-14,87.0,98.0,87.0,35.0
2022-05-13,58.0,99.0,58.0,38.0
2022-05-12,86.0,96.0,86.0,53.0
2022-05-11,89.0,87.0,89.0,53.0
2022-05-09,70.0,83.0,70.0,50.0
2022-05-07,84.0,66.0,84.0,52.0
2022-05-06,61.0,87.0,61.0,56.0
2022-05-05,68.0,71.0,68.0,65.0
2022-05-04,64.0,83.0,64.0,59.0
2022-05-02,57.0,71.0,57.0,46.0
2022-05-01,84.0,92.0,84.0,65.0
