timestamp,rmssd,coverage,low_frequency,high_frequency
2022-05-18T00:00:00,65.762,0.986,441.868,760.067
2022-05-18T00:05:00,59.8,0.979,296.266,471.289
2022-05-18T00:10:00,64.401,0.994,550.434,719.635
2022-05-18T00:15:00,62.636,0.963,2948.619,607.125
2022-05-18T00:20:00,62.928,0.999,682.743,633.443
2022-05-18T00:25:00,61.513,1.002,332.01,624.963
2022-05-18T00:30:00,64.061,0.999,565.841,782.133
2022-05-18T00:35:00,59.52,1.003,304.973,622.057
2022-05-18T00:40:00,75.554,1.002,506.384,1048.814
2022-05-18T00:45:00,67.92,0.978,425.186,910.658
2022-05-18T00:50:00,62.054,0.975,860.923,637.296
2022-05-18T00:55:00,49.625,0.972,446.221,377.587
2022-05-18T01:00:00,49.616,0.985,1231.012,449.226
2022-05-18T01:05:00,47.686,0.972,1369.864,314.22
2022-05-18T01:10:00,52.311,0.967,1033.8,553.421
2022-05-18T01:15:00,58.289,0.945,1164.173,488.552
2022-05-18T01:20:00,54.739,0.969,490.187,442.727
2022-05-18T01:25:00,62.504,0.994,604.987,620.922
2022-05-18T01:30:00,68.314,1.008,417.489,709.675
2022-05-18T01:35:00,66.6,1.0,422.984,737.327
2022-05-18T01:40:00,72.688,0.999,751.649,856.875
2022-05-18T01:45:00,80.018,1.002,821.557,1041.952
2022-05-18T01:50:00,84.872,1.002,377.85,1035.411
2022-05-18T01:55:00,69.905,0.962,1546.951,929.238
2022-05-18T02:00:00,71.635,1.003,518.496,724.799
2022-05-18T02:05:00,78.76,1.002,917.259,866.568
2022-05-18T02:10:00,78.769,0.881,1355.445,1139.618
2022-05-18T02:15:00,81.44,0.952,1178.406,882.836
2022-05-18T02:20:00,78.676,1.003,1512.095,1022.204
2022-05-18T02:25:00,48.555,1.004,1332.033,444.868
2022-05-18T02:30:00,58.317,1.0,2383.437,426.414
2022-05-18T02:35:00,37.136,0.991,1228.178,203.156
2022-05-18T02:40:00,60.992,1.004,2990.234,719.331
2022-05-18T02:45:00,62.688,0.963,984.134,818.817
