timestamp,bucket_values
2022-02-27T08:17:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.004, 0.005, 0.01, 0.019, 0.033, 0.047, 0.092, 0.211, 0.273, 0.205, 0.072, 0.022, 0.005, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2022-02-28T07:15:58.177,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.003, 0.004, 0.006, 0.015, 0.035, 0.053, 0.091, 0.158, 0.223, 0.222, 0.139, 0.042, 0.005, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2022-03-01T07:51:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.002, 0.002, 0.003, 0.006, 0.01, 0.023, 0.031, 0.035, 0.06, 0.137, 0.209, 0.248, 0.173, 0.052, 0.006, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2022-03-01T09:26:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.002, 0.002, 0.003, 0.006, 0.01, 0.023, 0.031, 0.035, 0.06, 0.137, 0.209, 0.248, 0.173, 0.052, 0.006, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2022-03-02T02:30:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.002, 0.012, 0.038, 0.063, 0.134, 0.213, 0.242, 0.18, 0.087, 0.022, 0.005, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2022-03-02T05:49:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.001, 0.002, 0.011, 0.029, 0.046, 0.093, 0.162, 0.223, 0.215, 0.142, 0.056, 0.015, 0.002, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2022-03-03T07:01:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.001, 0.002, 0.004, 0.01, 0.031, 0.046, 0.077, 0.151, 0.218, 0.228, 0.158, 0.054, 0.015, 0.002, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2022-03-04T05:21:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.001, 0.002, 0.005, 0.015, 0.035, 0.054, 0.087, 0.118, 0.182, 0.198, 0.17, 0.093, 0.03, 0.007, 0.002, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0]"
2022-03-04T07:28:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.001, 0.002, 0.006, 0.018, 0.036, 0.056, 0.089, 0.129, 0.19, 0.196, 0.157, 0.082, 0.027, 0.007, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2022-03-05T06:47:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.002, 0.003, 0.005, 0.016, 0.032, 0.062, 0.118, 0.185, 0.212, 0.172, 0.111, 0.054, 0.019, 0.005, 0.002, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2022-03-06T07:22:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.001, 0.001, 0.003, 0.008, 0.012, 0.021, 0.026, 0.042, 0.092, 0.191, 0.224, 0.199, 0.118, 0.045, 0.013, 0.003, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0]"
2022-03-06T10:24:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.001, 0.001, 0.003, 0.008, 0.012, 0.021, 0.026, 0.042, 0.092, 0.191, 0.224, 0.199, 0.118, 0.045, 0.013, 0.003, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0]"
2022-03-07T07:00:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.002, 0.002, 0.003, 0.01, 0.015, 0.031, 0.059, 0.112, 0.207, 0.242, 0.202, 0.084, 0.023, 0.004, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2022-03-08T03:09:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.002, 0.001, 0.003, 0.008, 0.017, 0.031, 0.076, 0.173, 0.229, 0.212, 0.135, 0.072, 0.029, 0.007, 0.002, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0]"
2022-03-08T07:00:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.002, 0.002, 0.003, 0.009, 0.022, 0.038, 0.083, 0.169, 0.229, 0.207, 0.14, 0.065, 0.023, 0.005, 0.001, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0]"
2022-03-08T07:09:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.002, 0.002, 0.003, 0.009, 0.022, 0.038, 0.083, 0.169, 0.229, 0.207, 0.14, 0.065, 0.023, 0.005, 0.001, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0]"
2022-03-09T06:56:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.002, 0.003, 0.005, 0.016, 0.046, 0.102, 0.188, 0.24, 0.196, 0.121, 0.054, 0.019, 0.005, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2022-03-10T07:42:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.002, 0.003, 0.004, 0.006, 0.015, 0.025, 0.051, 0.109, 0.209, 0.241, 0.185, 0.097, 0.039, 0.009, 0.002, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0]"
2022-03-11T03:23:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.004, 0.005, 0.007, 0.02, 0.032, 0.064, 0.132, 0.241, 0.248, 0.159, 0.062, 0.02, 0.006, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2022-03-11T06:22:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.003, 0.005, 0.006, 0.015, 0.027, 0.055, 0.104, 0.199, 0.234, 0.19, 0.104, 0.039, 0.012, 0.004, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2022-03-11T09:00:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.003, 0.005, 0.007, 0.016, 0.031, 0.061, 0.109, 0.199, 0.231, 0.184, 0.1, 0.038, 0.012, 0.004, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2022-03-11T09:01:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.003, 0.005, 0.007, 0.016, 0.031, 0.061, 0.109, 0.199, 0.231, 0.184, 0.1, 0.038, 0.012, 0.004, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2022-03-12T09:47:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.0, 0.005, 0.006, 0.019, 0.05, 0.162, 0.297, 0.285, 0.132, 0.035, 0.006, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2022-03-13T10:06:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.001, 0.002, 0.003, 0.007, 0.022, 0.049, 0.107, 0.206, 0.238, 0.199, 0.111, 0.037, 0.011, 0.004, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2022-03-14T06:58:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.002, 0.003, 0.005, 0.012, 0.029, 0.067, 0.17, 0.268, 0.244, 0.13, 0.045, 0.015, 0.005, 0.002, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2022-03-15T11:45:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.001, 0.003, 0.005, 0.011, 0.03, 0.068, 0.137, 0.273, 0.257, 0.135, 0.058, 0.015, 0.004, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2022-03-16T07:38:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.001, 0.001, 0.002, 0.003, 0.01, 0.022, 0.051, 0.146, 0.26, 0.255, 0.162, 0.063, 0.018, 0.005, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2022-03-17T03:32:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.003, 0.002, 0.003, 0.005, 0.014, 0.033, 0.08, 0.171, 0.222, 0.212, 0.152, 0.068, 0.025, 0.007, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2022-03-17T05:22:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.003, 0.002, 0.003, 0.005, 0.013, 0.028, 0.07, 0.156, 0.224, 0.231, 0.162, 0.067, 0.025, 0.008, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2022-03-17T07:44:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.003, 0.002, 0.003, 0.005, 0.015, 0.038, 0.089, 0.171, 0.221, 0.214, 0.145, 0.061, 0.022, 0.007, 0.002, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2022-03-18T07:38:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.001, 0.001, 0.003, 0.007, 0.013, 0.027, 0.04, 0.084, 0.15, 0.195, 0.211, 0.155, 0.082, 0.023, 0.006, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0]"
2022-03-19T09:28:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.003, 0.005, 0.008, 0.017, 0.023, 0.038, 0.083, 0.163, 0.223, 0.208, 0.135, 0.066, 0.022, 0.005, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0]"
2022-03-20T08:45:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.002, 0.003, 0.008, 0.017, 0.03, 0.052, 0.11, 0.204, 0.243, 0.195, 0.094, 0.03, 0.006, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2022-03-20T09:54:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.002, 0.003, 0.008, 0.017, 0.03, 0.052, 0.11, 0.204, 0.243, 0.195, 0.094, 0.03, 0.006, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2022-03-21T07:06:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.002, 0.003, 0.009, 0.025, 0.034, 0.05, 0.098, 0.131, 0.137, 0.149, 0.138, 0.116, 0.067, 0.027, 0.009, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0]"
2022-03-22T07:40:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.001, 0.001, 0.0, 0.004, 0.008, 0.021, 0.044, 0.054, 0.094, 0.189, 0.238, 0.178, 0.103, 0.046, 0.016, 0.005, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2022-03-23T07:31:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.002, 0.002, 0.004, 0.01, 0.024, 0.046, 0.087, 0.147, 0.218, 0.223, 0.155, 0.063, 0.016, 0.003, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
