timestamp,full_sleep_breathing_rate,full_sleep_standard_deviation,full_sleep_signal_to_noise,deep_sleep_breathing_rate,deep_sleep_standard_deviation,deep_sleep_signal_to_noise,light_sleep_breathing_rate,light_sleep_standard_deviation,light_sleep_signal_to_noise,rem_sleep_breathing_rate,rem_sleep_standard_deviation,rem_sleep_signal_to_noise
2022-02-27T08:17:30,16.6,1.6,11.152,16.6,1.6,11.152,15.0,1.6,13.101,16.2,1.3,4.549
2022-02-28T07:15:58.000000177,15.6,1.3,11.142,15.6,1.3,11.142,13.8,1.9,13.608,14.2,1.9,4.474
2022-03-01T07:51:30,15.0,1.0,10.275,15.0,1.0,10.275,14.6,1.4,11.225,15.2,2.3,5.535
2022-03-01T09:26:00,15.6,2.0,17.475,15.6,2.0,17.475,14.6,1.6,14.002,13.4,3.0,2.775
2022-03-02T02:30:30,17.0,0.7,8.08,17.0,0.7,8.08,16.8,1.5,7.084,15.2,1.3,5.006
2022-03-02T05:49:30,16.8,1.2,14.551,16.8,1.2,14.551,14.4,1.5,10.593,12.8,1.4,5.511
2022-03-03T07:01:30,16.0,1.2,9.856,16.0,1.2,9.856,15.4,2.5,10.654,14.2,2.9,4.053
2022-03-04T05:21:30,15.4,1.0,13.622,15.4,1.0,13.622,15.0,2.1,12.062,14.2,1.0,3.505
2022-03-04T07:28:30,15.6,1.3,18.94,15.6,1.3,18.94,14.6,1.8,11.045,14.0,0.8,2.705
2022-03-05T06:47:30,16.4,1.4,12.018,16.4,1.4,12.018,15.4,1.5,12.24,13.8,2.0,5.873
2022-03-06T07:22:30,15.6,0.9,10.493,15.6,0.9,10.493,15.0,1.6,11.154,15.0,1.2,3.881
2022-03-06T10:24:30,15.6,1.0,16.727,15.6,1.0,16.727,14.6,1.5,9.748,14.8,1.1,4.041
2022-03-07T07:00:30,15.2,1.3,14.36,15.2,1.3,14.36,15.0,1.8,9.017,14.4,1.9,4.188
2022-03-08T03:09:30,15.4,0.8,8.94,15.4,0.8,8.94,14.6,1.4,13.352,14.6,1.6,5.85
2022-03-08T07:00:00,15.2,0.9,10.258,15.2,0.9,10.258,14.6,1.3,16.422,14.6,1.6,5.7
2022-03-08T07:09:30,15.2,0.9,10.258,15.2,0.9,10.258,14.6,1.3,15.222,14.6,1.6,5.7
2022-03-09T06:56:30,16.0,1.5,12.755,16.0,1.5,12.755,14.6,1.7,11.034,14.2,1.4,4.166
2022-03-10T07:42:30,16.2,1.7,15.847,16.2,1.7,15.847,14.8,1.4,11.075,14.0,1.9,5.063
2022-03-11T03:23:30,15.8,1.3,4.585,15.8,1.3,4.585,15.8,1.5,11.611,15.8,1.4,4.041
2022-03-11T06:22:30,16.0,1.3,8.872,16.0,1.3,8.872,15.0,1.8,15.389,15.2,2.2,6.23
2022-03-11T09:00:00,16.0,1.3,13.144,16.0,1.3,13.144,14.6,1.5,12.974,15.0,2.2,7.138
2022-03-11T09:01:30,16.0,1.3,12.833,16.0,1.3,12.833,14.6,1.7,14.344,14.8,2.3,6.886
2022-03-12T09:47:30,15.8,1.0,9.154,15.8,1.0,9.154,14.8,1.4,10.719,15.2,0.6,2.668
2022-03-13T10:06:30,15.8,1.5,10.795,15.8,1.5,10.795,14.8,1.5,10.494,15.6,2.3,3.259
2022-03-14T06:58:30,16.0,1.2,14.624,16.0,1.2,14.624,14.8,1.6,15.279,15.8,2.0,3.075
2022-03-15T11:45:30,15.4,1.9,10.122,15.4,1.9,10.122,14.8,2.0,8.632,14.4,2.0,7.804
2022-03-16T07:38:30,15.6,1.5,10.878,15.6,1.5,10.878,14.6,1.3,15.669,13.2,0.9,4.917
2022-03-17T03:32:30,15.6,0.7,7.79,15.6,0.7,7.79,15.4,1.7,12.829,15.0,1.7,4.088
2022-03-17T05:22:30,16.2,1.4,10.492,16.2,1.4,10.492,15.4,1.7,14.007,15.0,1.7,4.674
2022-03-17T07:44:30,16.2,1.4,12.042,16.2,1.4,12.042,15.4,1.7,12.277,15.0,1.7,3.81
2022-03-18T07:38:30,16.4,1.2,11.585,16.4,1.2,11.585,15.2,1.4,16.576,-1.0,0.0,2.273
2022-03-19T09:28:30,15.8,2.1,11.397,15.8,2.1,11.397,14.8,1.9,16.982,15.2,2.6,4.396
2022-03-20T08:45:30,15.8,1.7,11.325,15.8,1.7,11.325,14.6,1.3,10.942,15.0,1.7,5.401
2022-03-20T09:54:30,15.8,1.7,11.325,15.8,1.7,11.325,14.6,1.4,12.536,14.8,1.4,2.98
2022-03-21T07:06:30,16.0,1.3,8.583,16.0,1.3,8.583,14.4,1.5,10.445,15.4,0.6,4.283
2022-03-22T07:40:30,16.0,1.2,10.17,16.0,1.2,10.17,14.8,1.4,10.93,13.8,1.0,2.506
2022-03-23T07:31:30,16.4,1.7,11.278,16.4,1.7,11.278,15.4,1.8,12.775,14.8,1.5,2.962
2022-03-24T05:05:30,16.2,1.2,11.063,16.2,1.2,11.063,15.6,1.4,16.534,13.0,0.5,2.649
2022-03-24T07:50:00,16.2,1.3,13.59,16.2,1.3,13.59,15.4,1.5,13.833,13.2,0.4,2.538
2022-03-24T07:50:30,16.2,1.3,13.59,16.2,1.3,13.59,15.6,1.4,15.683,13.8,1.0,3.816
2022-03-25T05:11:30,16.0,1.3,11.245,16.0,1.3,11.245,15.0,1.3,13.408,14.4,1.3,4.358
2022-03-25T08:15:00,16.0,1.4,11.967,16.0,1.4,11.967,15.2,1.6,11.145,14.4,1.3,4.613
