timestamp,Infrared to Red Signal Ratio
03/31/22 00:00:53,-38
03/31/22 00:01:53,0
03/31/22 00:02:53,-6
03/31/22 00:03:53,0
03/31/22 00:04:53,5
03/31/22 00:05:54,0
03/31/22 00:06:54,0
03/31/22 00:07:54,8
03/31/22 00:08:54,-1
03/31/22 00:09:54,2
03/31/22 00:10:54,0
03/31/22 00:11:55,5
03/31/22 00:12:55,0
03/31/22 00:13:58,-12
03/31/22 00:14:58,0
03/31/22 00:15:58,-14
03/31/22 00:16:58,4
03/31/22 00:17:58,0
03/31/22 00:18:58,0
03/31/22 00:19:58,-4
03/31/22 00:20:59,0
03/31/22 00:21:59,-37
03/31/22 00:22:59,1
03/31/22 00:23:59,-3
03/31/22 00:24:59,-4
03/31/22 00:25:59,13
03/31/22 00:26:59,1
03/31/22 00:28:00,21
03/31/22 00:29:01,-46
03/31/22 00:30:01,32
03/31/22 00:31:01,-60
03/31/22 00:32:02,-6
03/31/22 00:33:02,-19
03/31/22 00:34:02,-11
03/31/22 00:35:02,-35
03/31/22 00:36:02,-65
03/31/22 00:37:02,0
03/31/22 00:38:02,-3
03/31/22 00:39:03,-17
03/31/22 00:40:03,0
03/31/22 00:41:03,8
03/31/22 00:42:03,0
03/31/22 00:43:03,16
03/31/22 00:44:05,-2
03/31/22 00:45:05,-8
03/31/22 00:46:05,-12
03/31/22 00:47:05,-12
03/31/22 00:48:06,0
03/31/22 00:49:06,-21
03/31/22 00:50:06,0
03/31/22 00:51:06,-33
03/31/22 00:52:06,-4
03/31/22 00:53:06,0
03/31/22 00:54:06,-8
03/31/22 00:55:07,-34
03/31/22 00:56:07,-8
03/31/22 00:57:07,-1
03/31/22 00:58:07,0
03/31/22 00:59:10,0
03/31/22 01:00:10,-4
03/31/22 01:01:10,-2
03/31/22 01:02:10,-11
03/31/22 01:03:11,-19
03/31/22 01:04:11,-25
03/31/22 01:05:11,0
03/31/22 01:06:11,-17
03/31/22 01:07:11,-39
03/31/22 01:08:11,0
03/31/22 01:09:11,39
03/31/22 01:10:12,-1
03/31/22 01:11:12,0
03/31/22 01:12:12,0
03/31/22 01:13:12,38
03/31/22 01:14:14,-39
03/31/22 01:15:14,-34
03/31/22 01:16:14,12
03/31/22 01:17:15,-5
03/31/22 01:18:15,-3
03/31/22 01:19:15,-38
03/31/22 01:20:15,-11
03/31/22 01:21:15,8
03/31/22 01:22:15,-1
03/31/22 01:23:15,0
03/31/22 01:24:16,-3
03/31/22 01:25:16,0
03/31/22 01:26:16,-7
03/31/22 01:27:16,-6
03/31/22 01:28:16,9
03/31/22 01:29:17,0
03/31/22 01:30:17,0
03/31/22 01:31:17,-69
03/31/22 01:32:17,17
03/31/22 01:33:17,17
03/31/22 01:34:18,0
03/31/22 01:35:18,-23
03/31/22 01:36:18,8
03/31/22 01:37:18,-30
03/31/22 01:38:18,0
03/31/22 01:39:18,-8
03/31/22 01:40:18,0
03/31/22 01:41:19,28
03/31/22 01:42:19,0
03/31/22 01:43:19,40
03/31/22 01:44:22,-1
03/31/22 01:45:22,0
03/31/22 01:46:23,35
03/31/22 01:47:23,0
03/31/22 01:48:23,-1
03/31/22 01:49:23,-33
03/31/22 01:50:23,3
03/31/22 01:51:23,0
03/31/22 01:52:23,-34
03/31/22 01:53:24,0
03/31/22 01:54:24,-8
03/31/22 01:55:24,-3
03/31/22 01:56:24,-4
03/31/22 01:57:24,1
03/31/22 01:58:24,4
03/31/22 01:59:28,-1
03/31/22 02:00:28,-52
03/31/22 02:01:29,0
03/31/22 02:02:29,12
03/31/22 02:03:29,0
03/31/22 02:04:29,12
03/31/22 02:05:29,-15
03/31/22 02:06:29,4
03/31/22 02:07:29,0
03/31/22 02:08:30,5
03/31/22 02:09:30,17
03/31/22 02:10:30,0
03/31/22 02:11:30,0
03/31/22 02:12:30,0
03/31/22 02:13:30,-5
03/31/22 02:14:32,0
03/31/22 02:15:32,4
03/31/22 02:16:33,16
03/31/22 02:17:33,0
03/31/22 02:18:33,-9
03/31/22 02:19:33,-23
03/31/22 02:20:33,-4
03/31/22 02:21:33,4
03/31/22 02:22:33,28
03/31/22 02:23:34,-4
03/31/22 02:24:34,-28
03/31/22 02:25:34,0
03/31/22 02:26:34,0
03/31/22 02:27:34,-1
03/31/22 02:28:34,-2
03/31/22 02:29:36,-1
03/31/22 02:30:37,0
03/31/22 02:31:38,-5
03/31/22 02:32:38,-8
03/31/22 02:33:38,-2
03/31/22 02:34:38,56
03/31/22 02:35:38,0
03/31/22 02:36:38,18
03/31/22 02:37:39,42
03/31/22 02:38:39,0
03/31/22 02:39:39,0
03/31/22 02:40:39,-16
03/31/22 02:41:39,-47
03/31/22 02:42:39,0
03/31/22 02:43:39,17
03/31/22 02:44:43,0
03/31/22 02:45:43,0
03/31/22 02:46:44,-10
03/31/22 02:47:44,0
03/31/22 02:48:44,-23
03/31/22 02:49:44,-14
03/31/22 02:50:44,4
