timestamp,rmssd,coverage,low_frequency,high_frequency
2022-03-18T00:50:00,36.029,0.72,1522.422,303.595
2022-03-18T00:55:00,41.053,0.983,607.733,422.971
2022-03-18T01:00:00,61.443,0.972,1307.22,734.113
2022-03-18T01:05:00,59.151,0.995,1356.302,856.447
2022-03-18T01:10:00,62.962,1.001,697.889,775.181
2022-03-18T01:15:00,68.886,1.004,570.612,838.273
2022-03-18T01:20:00,71.661,1.005,533.256,924.795
2022-03-18T01:25:00,79.262,1.004,697.193,870.198
2022-03-18T01:30:00,80.835,1.002,617.82,1139.917
2022-03-18T01:35:00,81.744,1.005,456.396,1214.552
2022-03-18T01:40:00,81.193,0.998,376.759,1271.543
2022-03-18T01:45:00,66.814,0.93,2046.042,759.488
2022-03-18T01:50:00,62.189,0.999,999.426,733.011
2022-03-18T01:55:00,52.217,0.984,1009.451,313.693
2022-03-18T02:00:00,70.287,0.939,2240.92,923.769
2022-03-18T02:05:00,64.152,1.003,1333.449,783.275
2022-03-18T02:10:00,61.526,1.006,3338.864,662.75
2022-03-18T02:15:00,70.7,0.976,657.522,907.331
2022-03-18T02:20:00,78.375,1.002,798.499,887.825
2022-03-18T02:25:00,68.044,1.005,381.326,649.105
2022-03-18T02:30:00,64.522,0.997,436.307,573.098
2022-03-18T02:35:00,73.785,1.003,736.829,741.955
2022-03-18T02:40:00,72.347,1.002,442.035,621.088
2022-03-18T02:45:00,67.965,0.997,412.092,604.107
2022-03-18T02:50:00,75.596,0.996,485.942,875.927
2022-03-18T02:55:00,78.79,1.0,623.03,823.471
2022-03-18T03:00:00,75.938,0.992,624.549,785.103
2022-03-18T03:05:00,70.636,0.973,425.267,810.036
2022-03-18T03:10:00,79.664,0.943,2584.355,732.315
2022-03-18T03:15:00,71.564,0.986,899.867,757.521
2022-03-18T03:20:00,76.666,1.002,1351.822,1326.112
2022-03-18T03:25:00,56.576,0.986,1292.791,347.372
2022-03-18T03:30:00,58.766,0.954,1355.72,357.829
2022-03-18T03:35:00,39.777,0.987,1125.566,234.327
2022-03-18T03:40:00,45.322,0.946,2610.31,310.462
2022-03-18T03:45:00,55.255,0.967,1053.008,404.246
2022-03-18T03:50:00,69.455,0.939,1480.256,746.668
2022-03-18T03:55:00,47.785,0.988,1498.487,345.314
2022-03-18T04:00:00,48.747,0.956,1527.893,246.351
2022-03-18T04:05:00,41.521,0.991,1167.228,285.685
2022-03-18T04:10:00,42.149,0.905,905.99,355.268
2022-03-18T04:15:00,63.173,0.924,968.337,866.115
2022-03-18T04:20:00,66.429,1.004,1525.39,804.342
2022-03-18T04:25:00,71.322,0.982,780.197,915.096
2022-03-18T04:30:00,76.302,0.996,572.185,1098.199
2022-03-18T04:35:00,89.824,1.002,582.165,1195.543
2022-03-18T04:40:00,87.884,1.006,920.632,1292.14
2022-03-18T04:45:00,86.467,0.99,707.625,1256.486
2022-03-18T04:50:00,85.066,0.995,703.86,1236.91
2022-03-18T04:55:00,78.491,1.006,814.605,1016.503
2022-03-18T05:00:00,86.963,0.987,475.481,1232.974
2022-03-18T05:05:00,81.41,0.954,3335.689,890.686
2022-03-18T05:10:00,81.045,0.973,1478.932,1243.885
2022-03-18T05:15:00,87.658,0.965,1305.38,1516.843
2022-03-18T05:20:00,88.62,0.955,1337.928,1382.588
2022-03-18T05:25:00,87.225,0.938,3114.089,1196.194
2022-03-18T05:30:00,87.193,0.738,7020.824,2353.713
2022-03-18T05:35:00,61.384,0.841,2557.773,634.259
2022-03-18T05:40:00,61.776,0.886,1191.044,586.546
2022-03-18T05:45:00,58.92,0.993,1013.947,638.405
2022-03-18T05:50:00,60.789,0.935,3181.451,415.856
2022-03-18T05:55:00,52.518,0.952,1317.223,538.168
2022-03-18T06:00:00,57.434,0.918,2216.664,616.717
2022-03-18T06:05:00,61.732,0.836,1180.329,470.675
2022-03-18T06:10:00,53.583,0.853,429.124,438.817
2022-03-18T06:15:00,59.827,0.835,1731.447,869.373
2022-03-18T06:20:00,71.052,0.997,588.959,889.104
2022-03-18T06:25:00,75.068,0.996,1421.238,858.337
2022-03-18T06:30:00,75.788,0.987,2555.331,1066.244
2022-03-18T06:35:00,80.171,0.981,2406.325,1007.893
2022-03-18T06:40:00,79.199,1.005,2963.454,1099.02
2022-03-18T06:45:00,68.947,0.982,1286.963,813.047
2022-03-18T06:50:00,70.425,0.989,3920.024,649.082
2022-03-18T06:55:00,50.714,0.882,1254.172,235.741
2022-03-18T07:00:00,61.542,0.994,3425.841,411.458
2022-03-18T07:05:00,54.117,0.802,2840.064,305.053
2022-03-18T07:10:00,60.551,0.967,3137.591,786.93
2022-03-18T07:15:00,57.359,0.986,1449.399,612.232
2022-03-18T07:20:00,23.821,0.873,1421.818,104.82
2022-03-18T07:25:00,40.587,0.844,914.67,360.671
2022-03-18T22:35:00,65.269,0.987,1221.384,625.843
2022-03-18T22:40:00,64.561,1.003,740.947,556.81
2022-03-18T22:45:00,76.47,1.002,247.513,896.201
2022-03-18T22:50:00,76.893,0.866,3218.885,802.656
2022-03-18T22:55:00,49.818,1.003,510.39,372.353
2022-03-18T23:00:00,50.321,1.005,245.513,333.472
2022-03-18T23:05:00,48.383,0.996,308.827,325.523
2022-03-18T23:10:00,51.013,1.005,285.853,410.605
2022-03-18T23:15:00,53.289,0.984,225.352,433.21
2022-03-18T23:20:00,53.688,0.999,354.088,403.813
2022-03-18T23:25:00,56.793,0.949,1639.646,423.256
2022-03-18T23:30:00,59.75,0.991,1544.047,623.214
2022-03-18T23:35:00,56.478,0.94,2432.51,520.548
2022-03-18T23:40:00,55.88,1.006,1026.114,567.098
2022-03-18T23:45:00,54.941,0.999,511.977,516.452
2022-03-18T23:50:00,54.885,0.993,300.253,508.12
2022-03-18T23:55:00,59.418,1.004,512.925,632.145
