"company_id","free_trial_signup_date","google_analytics_medium"
17711836,"2020-11-02","cpc"
17712950,"2020-11-08","cpc"
17723760,"2020-12-12","(none)"
17713380,"2020-11-09","cpc"
17724228,"2020-12-13","email"
17732402,"2021-01-05","email"
17735723,"2021-01-16","email"
17714265,"2020-11-13","(none)"
17725457,"2020-12-18","(none)"
17715957,"2020-11-17","cpc"
17715966,"2020-11-17","(none)"
17729432,"2020-12-28","cpc"
17711123,"2020-10-06","(none)"
17720951,"2020-12-02","(none)"
17713108,"2020-11-08","(none)"
17726494,"2020-12-10","(none)"
17715065,"2020-11-15","cpc"
17720229,"2020-11-06","cpc"
17726994,"2020-12-11","cpc"
17721052,"2020-12-03","(none)"
17736993,"2021-01-23","email"
17729215,"2020-12-28","email"
17726607,"2020-12-21","cpc"
17718276,"2020-11-24","cpc"
17735068,"2021-01-14","cpc"
17733795,"2021-01-09","cpc"
17737346,"2021-01-24","cpc"
17716095,"2020-11-17","email"
17725615,"2020-12-18","cpc"
17710547,"2020-10-28","(none)"
17735209,"2021-01-15","(none)"
17727201,"2020-12-23","cpc"
17731385,"2021-01-03","cpc"
17727312,"2020-12-24","cpc"
17709881,"2020-10-26","email"
17732813,"2021-01-06","cpc"
17716047,"2020-11-17","cpc"
17725458,"2020-12-18","cpc"
17726283,"2020-12-20","cpc"
17713085,"2020-11-08","cpc"
17712599,"2020-11-07","email"
17712412,"2020-11-06","cpc"
17711603,"2020-11-01","(none)"
17718011,"2020-11-23","(none)"
17718918,"2020-11-02","email"
17714614,"2020-11-14","cpc"
17710592,"2020-10-28","(none)"
17725878,"2020-12-19","email"
17712451,"2020-11-06","email"
17711231,"2020-10-31","cpc"
17731957,"2021-01-04","(none)"
17709659,"2020-12-01","cpc"
17709767,"2020-10-26","cpc"
17736823,"2020-12-28","(none)"
17730084,"2020-12-05","(none)"
17736057,"2020-12-23","(none)"
17715565,"2020-11-16","email"
17722928,"2020-12-08","social"
17710819,"2020-10-30","(none)"
17717588,"2020-11-22","cpc"
17736254,"2021-01-18","email"
17736330,"2021-01-18","(none)"
17715934,"2020-11-17","(none)"
17712514,"2020-11-06","(none)"
17717984,"2020-11-23","cpc"
17718996,"2020-11-27","cpc"
17709756,"2020-10-26","cpc"
17710080,"2020-10-06","email"
17712441,"2020-11-06","email"
17711537,"2020-11-01","(none)"
17714279,"2020-11-13","email"
17711419,"2020-11-01","(none)"
17710087,"2020-10-15","(none)"
17710578,"2020-10-28","cpc"
17723884,"2020-12-12","cpc"
17736546,"2021-01-20","email"
17710687,"2020-10-29","(none)"
17721257,"2020-12-04","(none)"
17723787,"2020-12-12","(none)"
17712150,"2020-11-06","(none)"
17710982,"2020-10-30","email"
17711669,"2020-11-24","email"
17711085,"2020-10-31","email"
17711161,"2020-10-06","email"
17711192,"2020-10-31","cpc"
17717192,"2020-11-21","email"
17720988,"2020-12-02","cpc"
17721137,"2020-12-04","cpc"
17711552,"2020-11-01","(none)"
17711591,"2020-11-01","email"
17716618,"2020-11-20","email"
17711811,"2020-11-23","email"
17712001,"2020-11-03","email"
17713132,"2020-11-08","cpc"
17712182,"2020-11-04","cpc"
17712212,"2020-11-04","email"
17712285,"2020-11-05","email"
17712351,"2020-11-06","cpc"
17712380,"2020-11-06","(none)"
17712422,"2020-11-06","cpc"
17727889,"2020-12-04","cpc"
17716629,"2020-11-20","(none)"
17712781,"2020-11-07","(none)"
17714438,"2020-11-13","cpc"
17713038,"2020-11-08","social"
17713339,"2020-11-09","email"
17718679,"2020-11-25","email"
17713504,"2020-11-09","email"
17735405,"2021-01-15","cpc"
17714660,"2020-11-14","(none)"
17714077,"2020-10-17","email"
17714127,"2020-11-12","(none)"
17714661,"2020-10-25","email"
17718457,"2020-11-24","(none)"
17718046,"2020-11-23","cpc"
17716511,"2020-11-20","cpc"
17726929,"2020-12-22","cpc"
17716044,"2020-11-17","email"
17716270,"2020-11-18","cpc"
17716391,"2020-11-19","email"
17716559,"2020-11-20","organic"
17710330,"2020-10-27","cpc"
17717429,"2020-11-22","(none)"
17717537,"2020-11-22","email"
17717885,"2020-11-23","(none)"
17717945,"2020-11-23","cpc"
17718356,"2020-11-24","(none)"
17718390,"2020-11-24","(none)"
17732877,"2021-01-06","cpc"
17718685,"2020-11-25","(none)"
17718667,"2020-11-25","email"
17718698,"2020-11-27","cpc"
17718774,"2020-11-26","(none)"
17718780,"2020-11-26","cpc"
17718933,"2020-11-27","(none)"
17709825,"2020-10-26","cpc"
17719852,"2020-12-30","(none)"
17719045,"2020-11-27","cpc"
17736017,"2021-01-17","(none)"
17736898,"2021-01-23","(none)"
17719898,"2020-11-29","cpc"
17729443,"2020-12-28","email"
17724244,"2020-12-13","cpc"
17720240,"2020-11-30","cpc"
17720320,"2020-11-30","email"
17736650,"2021-01-21","email"
17720672,"2020-12-01","cpc"
17721027,"2020-12-03","cpc"
17720720,"2020-12-01","email"
17720953,"2020-11-08","email"
17721045,"2020-12-03","(none)"
17721097,"2020-12-04","cpc"
17730468,"2021-01-01","(none)"
17732832,"2021-01-06","cpc"
17733817,"2021-01-09","(none)"
17714026,"2020-11-11","cpc"
17731117,"2021-01-03","email"
17722609,"2020-12-08","cpc"
17722810,"2020-12-08","cpc"
17722989,"2020-12-08","email"
17732334,"2021-01-05","(none)"
17736879,"2021-01-22","cpc"
17723250,"2020-12-10","cpc"
17723891,"2020-12-12","(none)"
17730266,"2021-01-01","(none)"
17733624,"2021-01-09","(none)"
17732972,"2021-01-07","(none)"
17723426,"2020-12-11","(none)"
17723435,"2020-12-11","cpc"
17729759,"2020-12-29","email"
17730387,"2020-12-14","email"
17724691,"2020-12-14","cpc"
17730041,"2020-12-30","cpc"
17725563,"2020-12-18","cpc"
17725981,"2020-12-01","cpc"
17726205,"2020-12-20","organic"
17726263,"2020-12-20","cpc"
17726644,"2020-12-21","cpc"
17726859,"2020-12-22","cpc"
17733558,"2021-01-09","(none)"
17736894,"2021-01-23","social"
17726941,"2020-12-22","(none)"
17730140,"2020-12-30","(none)"
17727210,"2020-12-23","cpc"
17730715,"2021-01-02","social"
17733245,"2021-01-08","(none)"
17727402,"2020-12-25","(none)"
17727442,"2020-12-25","social"
17731106,"2021-01-03","cpc"
17732960,"2021-01-07","(none)"
17727526,"2020-12-25","(none)"
17727596,"2020-12-25","(none)"
17727773,"2020-12-26","(none)"
17727819,"2020-12-26","(none)"
17735459,"2021-01-15","(none)"
17730346,"2021-01-01","(none)"
17728362,"2020-12-27","(none)"
17729326,"2020-12-28","email"
17730791,"2021-01-02","(none)"
17728974,"2020-12-27","cpc"
17730107,"2020-12-30","organic"
17728996,"2020-12-28","cpc"
17729001,"2020-12-28","(none)"
17729161,"2020-12-28","cpc"
17729179,"2020-12-28","(none)"
17733254,"2021-01-08","email"
17729267,"2020-12-28","email"
17729390,"2020-12-28","(none)"
17729385,"2020-12-28","(none)"
17729425,"2020-12-28","cpc"
17729493,"2020-12-28","email"
17729421,"2020-12-28","(none)"
17729437,"2020-12-28","(none)"
17729461,"2020-12-28","(none)"
17729684,"2020-12-29","(none)"
17729688,"2020-12-29","(none)"
17729764,"2020-12-29","cpc"
17729795,"2020-12-29","(none)"
17729778,"2020-12-29","email"
17729819,"2020-12-29","(none)"
17729809,"2020-12-29","(none)"
17729828,"2020-12-29","(none)"
17729839,"2020-12-29","(none)"
17729866,"2020-12-29","(none)"
17729832,"2020-12-29","cpc"
17729873,"2020-12-29","(none)"
17729877,"2020-12-04","(none)"
17730048,"2020-12-30","email"
17730054,"2020-12-30","(none)"
17730066,"2020-12-30","email"
17731862,"2021-01-04","cpc"
17730079,"2020-12-30","social"
17730081,"2020-12-30","(none)"
17730099,"2020-12-30","(none)"
17730113,"2020-12-30","(none)"
17730137,"2020-12-30","cpc"
17734245,"2021-01-10","(none)"
17730180,"2020-12-31","(none)"
17730495,"2021-01-01","cpc"
17737275,"2021-01-24","(none)"
17730242,"2020-12-31","(none)"
17733981,"2021-01-10","cpc"
17732083,"2021-01-04","email"
17730263,"2021-01-01","cpc"
17730267,"2021-01-01","(none)"
17730276,"2021-01-01","(none)"
17731257,"2021-01-03","cpc"
17730282,"2021-01-01","email"
17730289,"2021-01-01","(none)"
17730764,"2021-01-02","(none)"
17730675,"2021-01-02","email"
17730327,"2021-01-01","email"
17730373,"2021-01-01","cpc"
17730382,"2021-01-01","(none)"
17731786,"2021-01-04","cpc"
17730445,"2021-01-01","cpc"
17730463,"2021-01-01","(none)"
17737029,"2021-01-23","(none)"
17736783,"2021-01-22","(none)"
17736054,"2021-01-17","cpc"
17730512,"2021-01-02","cpc"
17733039,"2021-01-07","cpc"
17730635,"2021-01-02","cpc"
17730682,"2021-01-02","cpc"
17730727,"2021-01-02","(none)"
17730724,"2021-01-02","email"
17730743,"2021-01-02","(none)"
17730763,"2021-01-02","(none)"
17730780,"2021-01-02","email"
17730779,"2020-12-08","email"
17730859,"2021-01-02","(none)"
17730818,"2021-01-02","cpc"
17730823,"2021-01-02","email"
17730826,"2021-01-02","(none)"
17730830,"2021-01-02","(none)"
17730836,"2021-01-02","(none)"
17731032,"2021-01-03","email"
17713986,"2020-11-11","cpc"
17728981,"2020-12-27","email"
17710737,"2020-10-30","cpc"
17723492,"2020-12-11","social"
17713792,"2020-11-26","(none)"
17730876,"2021-01-02","cpc"
17712237,"2020-11-05","email"
17730332,"2021-01-01","(none)"
17730730,"2021-01-02","(none)"
17734471,"2021-01-11","(none)"
17732372,"2021-01-05","social"
17709746,"2020-10-26","(none)"
17736971,"2021-01-23","(none)"
17713029,"2020-11-08","(none)"
17733937,"2021-01-10","organic"
17733936,"2021-01-10","organic"
17725006,"2020-12-15","(none)"
17710768,"2020-10-30","(none)"
17733408,"2021-01-08","(none)"
17730426,"2021-01-01","(none)"
17729268,"2020-12-03","cpc"
17722415,"2020-12-07","cpc"
17734688,"2021-01-12","(none)"
17734388,"2021-01-11","(none)"
17723835,"2020-12-12","email"
17721123,"2020-12-04","cpc"
17722421,"2020-11-26","(none)"
17713113,"2020-11-08","(none)"
17716449,"2020-11-20","cpc"
17730634,"2021-01-02","cpc"
17710058,"2020-10-27","cpc"
17732039,"2021-01-04","cpc"
17734544,"2021-01-11","(none)"
17736615,"2021-01-21","cpc"
17724916,"2020-12-15","email"
17714058,"2020-11-11","cpc"
17735676,"2021-01-16","(none)"
17733992,"2021-01-10","cpc"
17710765,"2020-11-02","cpc"
17729689,"2020-12-29","cpc"
17726299,"2020-12-20","email"
17724701,"2020-12-14","cpc"
17734446,"2021-01-11","cpc"
17715713,"2020-11-16","cpc"
17730072,"2020-12-30","cpc"
17710198,"2020-10-27","(none)"
17732151,"2021-01-05","cpc"
17712449,"2020-11-06","cpc"
17711801,"2020-11-02","cpc"
17733380,"2021-01-08","cpc"
17735795,"2021-01-16","email"
17724965,"2020-12-15","(none)"
17734431,"2021-01-11","cpc"
17736835,"2021-01-22","cpc"
17712547,"2020-11-06","(none)"
17715063,"2020-11-15","(none)"
17709775,"2020-10-26","(none)"
17710370,"2020-12-14","(none)"
17713329,"2020-11-09","cpc"
17732408,"2021-01-05","cpc"
17711690,"2020-11-02","email"
17710548,"2020-10-28","email"
17713016,"2020-11-06","cpc"
17718287,"2020-11-24","(none)"
17717486,"2020-11-22","(none)"
17715696,"2020-11-16","(none)"
17709788,"2020-10-26","email"
17720586,"2020-12-22","(none)"
17712641,"2020-11-07","email"
17733440,"2021-01-09","cpc"
17711657,"2020-11-02","(none)"
17723345,"2020-12-11","cpc"
17715540,"2020-11-16","(none)"
17717025,"2020-11-21","cpc"
17714183,"2020-11-12","cpc"
17709791,"2020-10-26","cpc"
17710662,"2020-10-29","(none)"
17716389,"2020-11-19","(none)"
17709642,"2020-10-26","(none)"
17709779,"2020-10-26","email"
17719820,"2020-11-29","(none)"
17710632,"2020-12-21","email"
17718894,"2020-11-27","cpc"
17710695,"2020-10-30","email"
17710563,"2020-10-28","(none)"
17710823,"2020-10-30","(none)"
17711860,"2020-11-02","cpc"
17711783,"2020-11-02","cpc"
17710849,"2020-10-30","cpc"
17722145,"2020-12-06","cpc"
17712317,"2020-11-05","(none)"
17714029,"2020-11-11","email"
17711851,"2020-11-02","cpc"
17712111,"2020-11-04","(none)"
17712249,"2020-11-05","(none)"
17712278,"2020-11-16","cpc"
17712301,"2020-11-05","cpc"
17731753,"2021-01-04","(none)"
17710934,"2020-10-30","cpc"
17714179,"2020-11-12","email"
17726142,"2020-12-20","cpc"
17713106,"2020-11-08","(none)"
17713388,"2020-11-09","cpc"
17716477,"2020-11-20","cpc"
17713760,"2020-11-10","email"
17713766,"2020-11-10","social"
17713974,"2020-11-11","(none)"
17714054,"2020-11-11","email"
17715206,"2020-11-15","cpc"
17714133,"2020-11-12","(none)"
17719743,"2020-11-29","(none)"
17714844,"2020-11-14","cpc"
17715578,"2020-10-23","(none)"
17722044,"2020-12-06","(none)"
17716309,"2020-11-18","cpc"
17716317,"2020-11-18","(none)"
17716334,"2020-11-18","(none)"
17716340,"2020-11-18","cpc"
17716390,"2020-11-19","email"
17716404,"2020-11-19","email"
17716486,"2020-11-20","email"
17716637,"2020-11-20","cpc"
17716996,"2020-11-21","email"
17716669,"2020-11-20","(none)"
17716099,"2020-11-17","email"
17719003,"2020-11-27","(none)"
17718994,"2020-11-27","cpc"
17722819,"2020-12-08","cpc"
17722045,"2020-12-06","cpc"
17721747,"2020-12-05","cpc"
17718309,"2020-11-24","social"
17720943,"2020-12-02","email"
17729739,"2020-12-29","social"
17718681,"2020-11-25","email"
17718697,"2020-11-25","cpc"
17718734,"2020-11-25","cpc"
17736301,"2021-01-18","(none)"
17732965,"2021-01-07","email"
17719052,"2020-11-02","(none)"
17716459,"2020-11-20","(none)"
17718983,"2020-11-17","email"
17719029,"2020-11-27","(none)"
17736695,"2021-01-21","(none)"
17737015,"2021-01-23","cpc"
17719415,"2020-11-28","(none)"
17719539,"2020-11-28","email"
17719549,"2020-11-28","email"
17719832,"2020-11-29","(none)"
17719875,"2020-11-29","(none)"
