free_trial_signup_date,google_analytics_medium,google_analytics_medium
2020-07-01,organic,8
2020-07-02,organic,9
2020-07-03,organic,20
2020-07-04,organic,5
2020-07-05,organic,12
2020-07-06,organic,11
2020-07-07,organic,11
2020-07-08,organic,12
2020-07-09,organic,6
2020-07-10,organic,11
2020-07-11,organic,8
2020-07-12,organic,9
2020-07-13,organic,9
2020-07-14,organic,11
2020-07-15,organic,4
2020-07-16,organic,6
2020-07-17,organic,9
2020-07-18,organic,7
2020-07-19,organic,7
2020-07-20,organic,11
2020-07-21,organic,11
2020-07-22,organic,8
2020-07-23,organic,7
2020-07-24,organic,15
2020-07-25,organic,21
2020-07-26,organic,17
2020-07-27,organic,13
2020-07-28,organic,15
2020-07-29,organic,6
2020-07-30,organic,4
2020-07-31,organic,20
2020-08-01,organic,11
2020-08-02,organic,6
2020-08-03,organic,15
2020-08-04,organic,9
2020-08-05,organic,12
2020-08-06,organic,8
2020-08-07,organic,20
2020-08-08,organic,9
2020-08-09,organic,10
2020-08-10,organic,8
2020-08-11,organic,9
2020-08-12,organic,4
2020-08-13,organic,7
2020-08-14,organic,6
2020-08-15,organic,11
2020-08-16,organic,8
2020-08-17,organic,12
2020-08-18,organic,6
2020-08-19,organic,10
2020-08-20,organic,5
2020-08-21,organic,12
2020-08-22,organic,6
2020-08-23,organic,6
2020-08-24,organic,12
2020-08-25,organic,13
2020-08-26,organic,8
2020-08-27,organic,6
2020-08-28,organic,19
2020-08-29,organic,6
2020-08-30,organic,9
2020-08-31,organic,6
2020-09-01,organic,11
2020-09-02,organic,6
2020-09-03,organic,6
2020-09-04,organic,9
2020-09-05,organic,8
2020-09-06,organic,7
2020-09-07,organic,17
2020-09-08,organic,12
2020-09-09,organic,9
2020-09-10,organic,4
2020-09-11,organic,10
2020-09-12,organic,11
2020-09-13,organic,8
2020-09-14,organic,9
2020-09-15,organic,14
2020-09-16,organic,9
2020-09-17,organic,10
2020-09-18,organic,9
2020-09-19,organic,15
2020-09-20,organic,14
2020-09-21,organic,9
2020-09-22,organic,13
2020-09-23,organic,9
2020-09-24,organic,6
2020-09-25,organic,7
2020-09-26,organic,6
2020-09-27,organic,12
2020-09-28,organic,15
2020-09-29,organic,11
2020-09-30,organic,11
2020-10-01,organic,11
2020-10-02,organic,11
2020-10-03,organic,13
2020-10-04,organic,14
2020-10-05,organic,13
2020-10-06,organic,12
2020-10-06,email,2
2020-10-06,(none),1
2020-10-07,organic,11
2020-10-07,email,1
2020-10-08,organic,6
2020-10-09,organic,14
2020-10-09,cpc,1
2020-10-10,organic,8
2020-10-11,organic,7
2020-10-12,organic,13
2020-10-13,organic,13
2020-10-14,organic,9
2020-10-15,organic,9
2020-10-15,(none),1
2020-10-15,email,1
2020-10-16,organic,6
2020-10-17,organic,16
2020-10-17,email,1
2020-10-18,organic,17
2020-10-19,organic,12
2020-10-20,organic,15
2020-10-20,cpc,1
2020-10-21,organic,9
2020-10-22,organic,7
2020-10-23,organic,16
2020-10-23,(none),1
2020-10-24,organic,11
2020-10-25,organic,9
2020-10-25,email,1
2020-10-26,cpc,6
2020-10-26,(none),5
2020-10-26,email,3
2020-10-26,organic,2
2020-10-27,cpc,5
2020-10-27,(none),4
2020-10-27,organic,3
2020-10-27,email,1
2020-10-28,(none),4
2020-10-28,cpc,4
2020-10-28,email,2
2020-10-28,organic,2
2020-10-29,(none),4
2020-10-29,cpc,1
2020-10-30,cpc,7
2020-10-30,(none),5
2020-10-30,email,2
2020-10-30,organic,2
2020-10-31,cpc,4
2020-10-31,(none),3
2020-10-31,email,1
2020-11-01,(none),5
2020-11-01,email,4
2020-11-01,cpc,1
2020-11-01,organic,1
