company_id,app_user,ever_contacted_support,subscription_status,left_trustpilot_review,minutes_activity_last_7_days_mobile,minutes_activity_last_7_days_desktop,minutes_activity_last_7_days_all_devices,free_trial_signup_date,google_analytics_medium
17618213,False,True,Subscribed,False,62,0,155,2019-09-26,organic
17618220,False,True,Subscribed,False,0,0,0,2019-09-26,organic
17618245,False,True,Subscribed,False,0,0,0,2019-09-26,organic
17618260,True,True,Subscribed,False,0,0,0,2019-09-26,organic
17618265,True,True,Subscribed,False,0,0,0,2019-09-26,organic
17618268,False,True,Subscribed,False,0,0,1,2019-09-26,organic
17618274,True,True,Subscribed,False,0,0,0,2019-09-26,organic
17618277,False,False,Subscribed,False,0,0,0,2019-09-26,organic
17618280,True,True,Subscribed,True,0,0,0,2019-09-04,organic
17618284,False,True,Subscribed,False,17,0,17,2019-09-26,organic
17618288,True,True,Subscribed,True,3,0,3,2020-07-03,organic
17618289,True,True,Subscribed,True,0,0,0,2020-03-24,organic
17618354,False,True,Subscribed,False,0,0,0,2019-09-27,organic
17618403,True,True,Subscribed,True,0,0,0,2019-12-17,organic
17618411,True,True,Subscribed,True,0,0,0,2019-12-31,organic
17618480,True,True,Subscribed,True,0,0,0,2019-10-15,organic
17618496,False,False,Subscribed,False,0,0,0,2019-09-27,organic
17618497,True,True,Subscribed,True,0,0,0,2020-07-27,organic
17618501,True,True,Subscribed,True,0,0,0,2019-09-04,organic
17618502,False,True,Subscribed,False,0,0,0,2019-09-27,organic
17618514,True,True,Subscribed,True,0,0,0,2019-11-04,organic
17618530,True,True,Subscribed,True,99,0,99,2019-09-02,organic
17618544,False,True,Subscribed,False,44,0,44,2019-09-27,organic
17618560,False,True,Subscribed,False,7,0,9,2019-09-27,organic
17618564,False,True,Subscribed,False,0,0,0,2019-09-27,organic
17618577,False,True,Subscribed,False,0,0,0,2019-09-27,organic
17618647,True,True,Subscribed,True,22,51,73,2020-06-09,organic
17618664,True,True,Subscribed,True,6,0,6,2020-02-19,organic
17618694,False,True,Subscribed,False,1,0,95,2019-09-28,organic
17618710,True,False,,True,0,0,0,2020-01-03,organic
17618716,True,True,Subscribed,False,0,0,1,2019-09-28,organic
17618717,False,True,Subscribed,False,0,0,0,2019-09-28,organic
17618722,False,True,Subscribed,False,0,0,0,2019-09-28,organic
17618741,False,False,,False,0,0,0,2019-09-28,organic
17618753,False,True,Subscribed,False,0,0,0,2019-09-28,organic
17618778,False,True,Subscribed,False,0,0,2,2019-09-28,organic
17618782,True,True,Subscribed,True,0,0,2,2019-09-17,organic
17618788,False,True,Subscribed,False,0,0,1,2019-09-28,organic
17618810,True,True,Subscribed,True,0,0,0,2019-12-03,organic
17618813,False,False,,False,0,0,0,2019-09-28,organic
17618838,True,True,Subscribed,True,0,0,0,2019-09-04,organic
17618839,False,True,Subscribed,False,7,0,7,2019-09-29,organic
17618850,False,True,Subscribed,False,0,0,1,2019-09-29,organic
17618860,True,True,Subscribed,False,0,0,0,2019-09-29,organic
17618870,True,True,,False,0,0,0,2019-09-29,organic
17618886,True,True,Subscribed,False,0,0,0,2019-09-29,organic
17618913,False,True,Subscribed,False,2,0,2,2019-09-29,organic
17618915,False,True,Subscribed,False,0,0,0,2019-09-29,organic
17618919,True,False,Subscribed,True,0,0,0,2019-12-06,organic
17618922,False,True,,False,0,0,17,2019-09-29,organic
17618933,True,True,Subscribed,True,0,0,0,2019-10-28,organic
17618936,True,True,Subscribed,True,0,0,0,2019-10-29,organic
17618981,True,True,Subscribed,False,0,0,0,2019-09-29,organic
17619030,False,True,Subscribed,False,0,0,0,2019-09-29,organic
17619066,True,True,Subscribed,True,0,0,0,2020-09-30,organic
17619116,False,False,,False,0,0,0,2019-09-30,organic
17619189,True,True,Subscribed,True,101,0,101,2019-10-04,organic
17619193,True,False,Subscribed,False,0,0,0,2019-09-30,organic
17619238,True,True,Subscribed,True,0,0,0,2020-12-10,organic
17619261,True,True,Subscribed,True,0,0,0,2019-09-09,organic
17619275,True,True,,False,0,0,0,2019-09-30,organic
17619280,False,True,Subscribed,False,0,0,0,2019-09-30,organic
17619284,True,True,Subscribed,True,0,0,0,2020-09-01,organic
17619297,True,True,Subscribed,True,3,0,7,2019-10-17,organic
17619300,False,True,Subscribed,False,0,0,0,2019-09-30,organic
17619301,False,False,Subscribed,False,0,0,0,2019-09-30,organic
17619333,True,True,Subscribed,False,5,0,5,2020-05-12,organic
17619347,False,False,,False,0,0,0,2019-10-01,organic
17619351,True,True,Subscribed,True,0,0,0,2019-09-17,organic
17619393,False,True,Subscribed,False,0,0,0,2019-10-01,organic
17619399,False,True,Subscribed,False,0,0,0,2019-10-01,organic
17619411,False,False,Subscribed,False,0,0,0,2019-10-01,organic
17619427,False,True,Subscribed,False,0,0,0,2019-10-01,organic
17619438,True,True,Subscribed,True,2,0,2,2019-11-09,organic
17619449,True,True,Subscribed,False,0,0,0,2020-07-31,organic
17619490,True,True,Subscribed,False,0,0,0,2019-10-01,organic
17619497,True,True,Subscribed,True,0,0,0,2019-09-17,organic
17619499,True,True,Subscribed,True,0,0,0,2020-07-08,organic
17619502,False,False,Subscribed,False,0,0,0,2019-10-01,organic
17619553,False,True,Subscribed,False,0,0,0,2019-10-02,organic
17619561,True,False,,False,0,0,0,2019-10-02,organic
17619583,True,True,Subscribed,True,0,0,0,2020-12-04,organic
17619588,False,True,Subscribed,False,8,0,10,2019-10-02,organic
17619590,False,True,Subscribed,False,0,0,0,2019-10-02,organic
17619596,False,True,Subscribed,False,0,0,0,2019-10-02,organic
17619602,True,True,Subscribed,True,0,0,0,2019-12-16,organic
17619612,True,True,Subscribed,True,0,0,0,2019-12-03,organic
17619624,True,True,Subscribed,True,0,0,0,2019-09-11,organic
17619647,False,True,Subscribed,False,0,0,0,2019-10-03,organic
17619654,False,True,Subscribed,False,0,0,0,2019-10-03,organic
17619655,False,True,Subscribed,False,0,0,0,2019-10-03,organic
17619656,True,True,Subscribed,True,0,0,0,2020-04-07,organic
17619691,True,True,Subscribed,False,0,0,0,2019-10-04,organic
17619801,True,True,Subscribed,True,0,0,0,2019-09-28,organic
17619804,True,True,Subscribed,False,0,0,0,2019-10-04,organic
17619812,False,True,Subscribed,False,0,0,0,2019-10-04,organic
17619843,False,True,Subscribed,False,0,0,0,2019-10-04,organic
17619852,True,True,Subscribed,False,0,0,0,2019-10-04,organic
17619866,False,True,Subscribed,False,0,0,0,2019-10-04,organic
17619894,True,True,Subscribed,True,0,0,0,2019-10-04,organic
17619910,False,True,Subscribed,False,1,0,1,2019-10-05,organic
17619940,True,True,Subscribed,True,0,0,0,2020-01-08,organic
17619943,True,True,Subscribed,True,0,0,0,2020-07-12,organic
17619944,True,True,Subscribed,False,138,0,138,2019-10-05,organic
17619953,False,True,Subscribed,False,0,0,4,2019-10-05,organic
17619958,True,True,Cancelled,False,0,0,0,2019-10-05,organic
17619987,True,False,,True,0,0,0,2019-09-18,organic
17619991,False,True,Subscribed,False,0,0,0,2019-10-05,organic
17619992,False,False,,False,0,0,0,2019-10-05,organic
17620015,True,True,Subscribed,True,0,0,0,2019-10-02,organic
17620027,False,True,Subscribed,False,0,0,0,2019-10-05,organic
17620067,False,True,Subscribed,False,0,0,0,2019-10-05,organic
17620069,True,True,Subscribed,True,0,0,0,2019-09-17,organic
17620070,True,True,Subscribed,True,0,0,0,2019-09-16,organic
17620077,False,True,Subscribed,False,0,0,0,2019-10-05,organic
17620086,True,True,Subscribed,True,0,0,0,2019-09-17,organic
17620094,False,True,Subscribed,False,0,0,0,2019-10-05,organic
17620098,False,True,Subscribed,False,0,0,4,2019-10-05,organic
17620120,True,False,,True,0,0,0,2019-09-19,organic
17620135,False,False,Subscribed,False,0,0,0,2019-10-06,organic
17620169,False,True,Subscribed,False,0,0,0,2019-10-06,organic
17620180,True,True,Subscribed,False,0,0,0,2019-10-06,organic
17620186,False,True,Subscribed,False,0,0,0,2019-10-06,organic
17620188,False,True,Subscribed,False,0,0,0,2019-10-06,organic
17620207,True,True,Subscribed,False,0,0,0,2019-10-06,organic
17620211,False,True,Subscribed,False,0,0,0,2019-10-06,organic
17620236,False,True,Subscribed,False,0,0,0,2019-10-06,organic
17620240,False,True,Subscribed,False,0,0,0,2019-10-06,organic
17620284,True,True,Subscribed,False,0,0,0,2019-10-06,organic
17620290,True,True,Subscribed,False,0,0,1,2019-10-06,organic
17620306,False,True,Subscribed,False,0,0,2,2019-10-06,organic
17620309,True,False,,False,0,0,0,2019-10-06,organic
17620312,True,True,Subscribed,True,0,0,1,2020-03-19,organic
17620326,False,True,Subscribed,False,0,0,0,2019-10-06,organic
17620327,True,True,Subscribed,True,0,0,0,2020-07-06,organic
17620339,True,True,,False,0,0,0,2019-10-06,organic
