id,height,face,torso,left_shin,left_shin2,right_shin,shoulder,left_arm,right_arm,var1,var2,var3,var4
2b8cfe,718.3642421,70.59096562,269.5152316,141.2398869,207.5376526,132.1849164,173.2613974,131.9661582,133.629282,3,59,99,10
2b8d62,716.4087851,70.29101015,269.095971,140.472361,207.9115715,131.9756862,173.2460567,131.8349616,133.3211012,4,59,95,10
2b8dc6,714.9622769,70.08070733,268.745611,139.719235,208.3825921,131.7134372,173.3654068,131.9592547,133.1233789,2,57,96,10
2b8e2a,714.0131294,69.78552104,268.5323321,138.9034991,208.8784201,131.5190606,173.4683255,132.5369271,132.971018,1,59,93,10
2b8e8e,713.6875931,69.64763455,268.5207978,138.2921135,209.1628721,131.5017791,173.6258428,132.8772153,132.9179837,5,58,96,10
2b90e6,714.5110788,19.30004668,188.9123553,182.3915607,186.9633698,177.6836916,154.4494692,115.9669601,101.0375903,1,59,93,11
2b914a,715.4799528,20.02722385,188.1800929,181.7706488,187.022599,176.8665852,156.3127002,117.3142025,102.157093,4,57,98,11
2b91ae,717.0761591,19.87844848,187.380587,181.014589,186.5150708,176.1163023,158.3711849,118.5595296,103.0888897,4,59,95,11
2b9212,718.6363595,19.96651519,186.5092539,180.1879527,185.3361258,175.305207,160.2913451,119.9920601,104.2715543,4,57,95,11
2b9276,720.2301915,20.46025187,185.8373205,179.2892457,184.0670362,174.4571305,162.1410678,121.5975377,105.554379,5,55,98,11
2b94ce,1022.03882,26.88781798,398.7361492,150.3699251,239.7974294,93.49152404,324.5121035,183.2338799,200.5240966,3,55,96,11
2b9532,1017.734806,26.88781798,396.5600725,150.687008,239.7978241,96.25710333,321.6843542,182.4196971,198.8004848,5,57,95,11
2b9596,1015.33195,26.88781798,394.1651171,151.4083365,239.7979528,100.8139705,318.7854372,181.4918463,196.8442961,1,58,98,11
2b95fa,1014.300184,26.88781798,391.1513731,152.8184989,239.8025488,106.044676,315.7539784,180.439226,194.8059735,1,55,93,11
2b965e,1013.522117,26.88781798,387.4664225,154.3808155,239.8067688,111.4933154,312.9431737,179.0747063,192.8606543,1,60,94,11
2b98b6,638.0383538,63.39978093,248.1178333,127.4716267,183.4552298,141.4515803,143.7935987,118.2625306,104.7191066,3,59,99,11
2b991a,641.5649963,65.22447552,250.4216784,127.3988687,183.1643618,141.8475008,144.4791022,119.6129338,105.347993,4,57,99,11
2b997e,644.2607546,67.04733669,252.3869489,127.1454589,183.0129799,142.0965986,144.8283174,120.8206923,105.936754,5,57,93,11
2b99e2,646.187313,68.85100288,254.0204968,126.8796292,182.9241263,142.2024602,144.970335,121.6424574,106.5213197,4,59,98,12
2b9a46,647.7677584,70.62183006,255.387404,126.6831189,183.004156,142.3099911,144.9759275,122.2038201,107.0124346,4,59,98,12
2b9c9e,703.8460114,60.03814892,240.8669786,166.0884957,195.1532889,172.9555271,146.9334174,106.6647791,101.3829733,3,57,93,12
2b9d02,703.0148906,59.99663156,240.3454578,166.7146243,194.8249708,173.8560707,146.720934,106.3790145,101.4116228,2,55,97,12
2b9d66,702.193274,60.03223228,239.8961378,167.2594187,194.41125,174.4844465,146.5077018,106.1018543,101.5255554,1,59,96,12
2b9dca,701.2840472,60.06940247,239.4415566,167.8612653,193.9697021,174.8989213,146.2248345,105.6933553,101.6486289,5,60,96,12
2b9e2e,700.0070835,60.41179889,238.8506207,168.4471029,193.6743986,175.0255078,145.7979396,105.1647169,101.8688096,4,60,98,12
2ba086,924.7283216,94.10294984,326.0302887,173.0653533,267.0780295,203.4096383,221.407148,161.2397789,158.8588241,2,57,98,12
2ba0ea,924.5309488,94.0920687,326.1001918,172.9920214,267.3972085,203.2876959,221.4699512,161.4513751,159.2337022,1,56,93,12
2ba14e,924.3237412,94.09429389,326.1035829,173.1169704,267.7492191,203.089396,221.5849924,161.5923202,159.6116488,1,60,93,12
2ba1b2,923.984568,94.10504839,326.0991673,173.1804852,267.9592429,202.8315347,221.754234,161.660955,159.9211448,2,60,95,12
2ba216,923.4885916,94.10114153,326.0928799,173.1146,268.0999503,202.4475492,221.8615115,161.6580826,160.0192802,1,57,97,12
2ba46e,843.0588494,49.88513421,301.2701345,187.4475762,173.1261071,201.1036712,180.1245291,147.8481598,150.9022411,1,59,94,12
2ba4d2,842.7504468,49.88513421,301.0031185,187.5208398,173.059836,201.2400943,179.9175517,147.994518,150.8828023,3,60,95,12
2ba536,842.3436106,49.88513421,300.8678915,187.5905566,172.6776066,201.3680188,179.7764192,148.1132962,150.7170362,2,57,94,12
2ba59a,842.0742797,49.88513421,300.796899,187.6596357,172.3987462,201.487879,179.6396171,148.0827727,150.4037204,3,56,96,12
2ba5fe,841.9209307,49.88513421,300.7915371,187.7290159,172.5872068,201.5373593,179.6334559,148.1118912,150.0718731,5,60,94,12
